"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3, C4","3","0.1uF","Capacitor_SMD:C_0805_2012Metric",""
"2","C2, C5, C7","3","4.7uF","Capacitor_SMD:C_0805_2012Metric",""
"3","C6","1","22uF","Capacitor_SMD:C_0805_2012Metric",""
"4","D1","1","SS14/1N5819/S4/BAT760-7","USBtoUART:SOD-123EP",""
"5","D2","1","SP0503BAHT","Package_TO_SOT_SMD:SOT-143",""
"6","D3","1","TX","LED_SMD:LED_0805_2012Metric",""
"7","D4","1","RX","LED_SMD:LED_0805_2012Metric",""
"8","D5","1","PWR","LED_SMD:LED_0805_2012Metric",""
"9","J1","1","USB_C_Receptacle_USB2.0","USBtoUART:USB_C_Receptacle_Molex_216990-001",""
"10","J2","1","PORT1","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"11","J3","1","UART0","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"12","J4","1","PORT2","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"13","Q1","1","MUN5211DW1","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"14","R1","1","2.2K","Resistor_SMD:R_0805_2012Metric",""
"15","R2, R3","2","5.1K","Resistor_SMD:R_0805_2012Metric",""
"16","R4","1","22.1K","Resistor_SMD:R_0805_2012Metric",""
"17","R5","1","47.5K","Resistor_SMD:R_0805_2012Metric",""
"18","R6","1","4.7K","Resistor_SMD:R_0805_2012Metric",""
"19","R7, R8","2","1K","Resistor_SMD:R_0805_2012Metric",""
"20","R9","1","10K","Resistor_SMD:R_0805_2012Metric",""
"21","R10, R11","2","470R","Resistor_SMD:R_0805_2012Metric",""
"22","R12, R13","2","22R","Resistor_SMD:R_0805_2012Metric",""
"23","U1","1","CP2102N-Axx-xQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias",""
"24","U2","1","XC6220B331ER","USBtoUART:USP-6C",""
